Year,State,Coalition,Fuel Type,Vehicle Class,GGE Impacted,GHG Impacted
2025,NC,Centralina Clean Fuels Coalition,PHEV,Light-Duty,1017996.348786,11898.405992785272
2025,NC,Centralina Clean Fuels Coalition,Propane,Heavy-Duty,223487.586477,333.66417128757104
2025,NC,Centralina Clean Fuels Coalition,Propane,Light-Duty,31862.411679,47.570182109469
2025,NC,Centralina Clean Fuels Coalition,Propane,Off-Road,166.578248,0.248699240898
2025,NC,Land of Sky Clean Vehicles Coalition (Western North Carolina),Biodiesel,Heavy-Duty,75788.896162,597.67019104209
2025,NC,Land of Sky Clean Vehicles Coalition (Western North Carolina),CNG,Heavy-Duty,43081.8216,142.54240963220101
2025,NC,Land of Sky Clean Vehicles Coalition (Western North Carolina),CNG,Light-Duty,66382.062762,301.225393050299
2025,NC,Land of Sky Clean Vehicles Coalition (Western North Carolina),E85,Light-Duty,1389.858235,6.963887084824
2025,NC,Land of Sky Clean Vehicles Coalition (Western North Carolina),Electric,Light-Duty,2686748.706693,21054.622664125254
2025,NC,Land of Sky Clean Vehicles Coalition (Western North Carolina),Electric,Off-Road,164119.202205,1083.09895600431
2025,NC,Land of Sky Clean Vehicles Coalition (Western North Carolina),HEV,Heavy-Duty,13201.517826,156.321630231655
2025,NC,Land of Sky Clean Vehicles Coalition (Western North Carolina),HEV,Light-Duty,70998.293387,829.8325632656561
2025,NC,Land of Sky Clean Vehicles Coalition (Western North Carolina),PHEV,Light-Duty,622476.559728,7275.5286796976625
2025,NC,Land of Sky Clean Vehicles Coalition (Western North Carolina),Propane,Heavy-Duty,27447.552244,40.9788521934
2025,NC,Land of Sky Clean Vehicles Coalition (Western North Carolina),Propane,Light-Duty,64523.433704,96.332679480262
2025,NC,Land of Sky Clean Vehicles Coalition (Western North Carolina),Propane,Off-Road,3106.529941,3.2457299543700002
2025,NC,Piedmont and Coastal North Carolina Clean Communities,CNG,Heavy-Duty,32028.53295,20.359340540297
2025,NC,Piedmont and Coastal North Carolina Clean Communities,CNG,Light-Duty,177.3194,5.609398176288
2025,NC,Piedmont and Coastal North Carolina Clean Communities,E85,Light-Duty,4142.764795,20.757330155406
2025,NC,Piedmont and Coastal North Carolina Clean Communities,Electric,Heavy-Duty,17513.81476,105.83934773265
2025,NC,Piedmont and Coastal North Carolina Clean Communities,Electric,Light-Duty,9072.921683999999,61.555815185698
2025,NC,Piedmont and Coastal North Carolina Clean Communities,Electric,Off-Road,265.328723,1.969337351605
2025,NC,Piedmont and Coastal North Carolina Clean Communities,HEV,Heavy-Duty,25591.287976,303.031205110013
2025,NC,Piedmont and Coastal North Carolina Clean Communities,HEV,Light-Duty,62998.686123,736.3326453920209
2025,NC,Piedmont and Coastal North Carolina Clean Communities,PHEV,Light-Duty,888.186147,6.632847098379
2025,NC,Piedmont and Coastal North Carolina Clean Communities,Propane,Heavy-Duty,44851.291734,66.962417570396
2025,NC,Piedmont and Coastal North Carolina Clean Communities,Propane,Light-Duty,11883.843654,17.742429935874
2025,TN,East Tennessee Clean Fuels,Biodiesel,Heavy-Duty,1995879.527883,15739.47846107074
2025,TN,East Tennessee Clean Fuels,Biodiesel,Off-Road,400.227927,3.156191922508
2025,TN,East Tennessee Clean Fuels,CNG,Heavy-Duty,1162063.3029999998,8553.573449284071
2025,TN,East Tennessee Clean Fuels,CNG,Light-Duty,95964.25,216.494595880156
2025,TN,East Tennessee Clean Fuels,E85,Light-Duty,2058956.817394,10316.406686016908
2025,TN,East Tennessee Clean Fuels,Electric,Heavy-Duty,91775.46802100001,489.119365604381
2025,TN,East Tennessee Clean Fuels,Electric,Light-Duty,9822062.245476,75887.7755421233
2025,TN,East Tennessee Clean Fuels,Electric,Off-Road,188310.391112,1381.742730445485
2025,TN,East Tennessee Clean Fuels,HEV,Heavy-Duty,4298.970742,50.904912868711
2025,TN,East Tennessee Clean Fuels,HEV,Light-Duty,64082.859054,749.004527503909
2025,TN,East Tennessee Clean Fuels,LNG,Heavy-Duty,1095913.806088,9061.403894767614
2025,TN,East Tennessee Clean Fuels,PHEV,Heavy-Duty,8529.350088,100.997622255224
2025,TN,East Tennessee Clean Fuels,PHEV,Light-Duty,1113241.570855,7438.509410831244
2025,TN,East Tennessee Clean Fuels,Propane,Heavy-Duty,103799.982963,-39.721914427626004
2025,TN,East Tennessee Clean Fuels,Propane,Light-Duty,126003.118429,188.121079799971
2025,TN,East Tennessee Clean Fuels,Propane,Off-Road,770334.863599,-276.962093268481
2025,TN,East Tennessee Clean Fuels,Renewable Diesel,Heavy-Duty,2097620.424422,14923.844261787193
2025,TN,Middle,Biodiesel,Light-Duty,301673.55214,4910.943266548002
2025,TN,Middle,CNG,Heavy-Duty,6742818.262859,52186.49751745965
2025,TN,Middle,CNG,Light-Duty,1049614.6725,8598.14848691133
2025,TN,Middle,E85,Light-Duty,865069.736958,4334.433409588594
2025,TN,Middle,Electric,Heavy-Duty,150040.755635,1252.9336142457141
2025,TN,Middle,Electric,Light-Duty,677623.850659,5236.351105268092
2025,TN,Middle,Electric,Off-Road,26442.306779,174.483483909161
2025,TN,Middle,HEV,Heavy-Duty,304029.414896,3600.068901292622
2025,TN,Middle,HEV,Light-Duty,180440.073821,2108.995045268253
2025,TN,Middle,LNG,Heavy-Duty,3339778.9122,27614.47613358756
2025,TN,Middle,PHEV,Light-Duty,472916.873055,3204.2224809316986
2025,TN,Middle,Propane,Heavy-Duty,303511.530453,-119.266073342515
